trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
247,False,"{'a': 0.5, 'e': 0.10828376975109819}",30,6,44.77546555109915,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.10731358818908407}",20,3,20.949269476457893,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.10635209908638715}",20,9,12.846103690566279,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.10539922456186433}",25,13,22.417840542651817,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.10445488743215826}",20,10,18.430456558934885,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.10351901120544506}",30,3,42.64073763025892,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.10259152007523867}",20,6,27.233880617468436,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.1016723389142504}",30,16,28.362254313406762,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.10076139326830373}",20,10,22.182753637926297,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.09985860935030323}",20,16,7.385127952457105,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.09896391403425794}",20,11,16.81001814956353,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.0980772348493581}",20,9,-62.93279558122378,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
259,False,"{'a': 0.5, 'e': 0.09719849997410487}",30,10,11.164749179349108,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.09632763823049303}",20,4,30.773684032209847,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.09546457907824514}",30,9,22.72824178605524,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.09460925260909797}",25,14,17.48774399518068,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.09376158954113986}",20,6,16.06595707769586,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.0929215212131989}",20,3,23.119755113382524,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.5, 'e': 0.0920889795792812}",20,12,16.71783437272227,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.5, 'e': 0.09126389720305919}",20,3,13.90062630348578,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.09044620725240926}",30,9,34.73156054825634,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.08963584349399842}",30,5,38.79886923916126,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.08883274028791913}",20,13,3.7690473348976266,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.08803683258237259}",20,14,10.079346282494527,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.08724805590839949}",20,12,5.909860612812446,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.08646634637465792}",20,0,16.466948967484075,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.08569164066224835}",20,12,5.206168115794732,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.08492387601958445}",35,17,31.696155848940435,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.0841629902573104}",30,16,6.155169916925709,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.08340892174326339}",25,18,-29.140988708849342,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
277,False,"{'a': 0.5, 'e': 0.08266160939748157}",30,10,38.11082598806889,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
