trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
156,False,"{'a': 0.5, 'e': 0.24561254623381226}",20,4,-19.262422634314277,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
157,False,"{'a': 0.5, 'e': 0.24341195085092973}",20,16,8.326501406097911,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.24123107196915192}",20,10,20.168714014361385,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2390697329360971}",25,7,-55.89863776257749,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
160,False,"{'a': 0.5, 'e': 0.23692775868212176}",20,16,8.407494825890037,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.23480497570614037}",25,13,8.1883616384499,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.23270121206157107}",25,12,25.958837375083647,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.23061629734240854}",25,18,10.536678041180094,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.2285500626694205}",20,12,17.711229501243455,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.2265023406764688}",25,17,5.862486958097842,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.22447296549695234}",25,12,-21.65666854680737,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.22246177275037213}",30,11,21.761593372120533,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.22046859952901599}",35,26,16.86458232519561,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.21849328438476318}",20,16,6.68023198552128,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.2165356673160071}",20,11,-25.389206255415875,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
171,False,"{'a': 0.5, 'e': 0.21459558975469478}",25,12,-18.475229029392537,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.2126728945534831}",20,16,8.503722918895239,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.2107674259730094}",25,17,13.937027827500437,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.208879029669277}",20,2,16.88961871720433,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.20700755268115265}",20,0,-22.7621317463298,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.2051528434179772}",20,7,-28.431349849699604,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.20331475164728618}",20,7,-10.545106719186776,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.2014931284826413}",20,8,-38.260569046858826,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
179,False,"{'a': 0.5, 'e': 0.19968782637157012}",20,13,13.704492685067754,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.1978986990836147}",30,12,4.731311376781525,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.19612560169848647}",25,12,15.854257260784122,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.1943683905943277}",25,14,-3.0273415766717604,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
